id,source_file,month,year,sl_no,heads_of_crime,major_head,minor_head,upto_end_of_month,prev_year_month,previous_month,current_month,category_id,category_name,subcategory_id,subcategory_name,mapping_confidence,mapping_method
32,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Communalism,2,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
33,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Casteism,2,0,2,0,2,Crimes Against Persons,7,Murder,0.95,substring
34,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Witch Craft (Sorcery),0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
35,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Human Sacrifice,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
36,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Terrorism /Naxalism / Extremism,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
37,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),For Political Reasons,2,0,0,1,2,Crimes Against Persons,7,Murder,0.95,substring
38,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Adultery,4,2,2,1,2,Crimes Against Persons,7,Murder,0.95,substring
39,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Electoral Gain,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
40,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Gang Rivalry,3,0,1,1,2,Crimes Against Persons,7,Murder,0.95,substring
41,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Love Intrigue,5,1,2,1,2,Crimes Against Persons,7,Murder,0.95,substring
42,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Professional,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
43,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Rape,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
44,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Revenge/Enemity,69,22,18,13,2,Crimes Against Persons,7,Murder,0.95,substring
45,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Sudden Quarrel,138,20,41,32,2,Crimes Against Persons,7,Murder,0.95,substring
46,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Village Dispute,8,0,2,2,2,Crimes Against Persons,7,Murder,0.95,substring
47,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Due to Other Causes,819,191,246,211,2,Crimes Against Persons,7,Murder,0.95,substring
48,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC/109BNS),Civil Disputes,117,29,32,31,2,Crimes Against Persons,7,Murder,0.95,substring
49,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Gain,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
50,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Over Civil Dispute,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
51,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Personal Vendetta or enemity,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
52,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Sexual jealousy,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
53,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Dowry,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
54,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Communalism,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
55,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Casteism,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
56,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Witch Craft (Sorcery),0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
57,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Human Sacrifice,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
58,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Terrorism /Naxalism / Extremism,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
59,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),For Political Reasons,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
60,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Adultery,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
61,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Property Disputes,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
62,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Electoral Gain,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
63,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Gang Rivalry,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
64,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Love Intrigue,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
65,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Professional,0,0,0,0,3,Cyber Crime,,,0.4,token_overlap
66,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Sudden Quarrel,1,2,0,0,3,Cyber Crime,,,0.4,token_overlap
67,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Due to Other Causes,24,10,12,5,3,Cyber Crime,,,0.4,token_overlap
68,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,68,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC/105 BNS),Fatal (Drink & Drive),10,3,5,4,3,Cyber Crime,,,0.4,token_overlap
69,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Gain,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
70,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Over Civil Dispute,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
71,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Personal Vendetta or enemity,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
72,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Sexual jealousy,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
73,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Dowry,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
74,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Communalism,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
75,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Casteism,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
76,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Witch Craft (Sorcery),0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
77,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Human Sacrifice,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
78,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Terrorism /Naxalism / Extremism,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
79,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),For Political Reasons,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
80,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Due to Other Causes,21,7,9,5,2,Crimes Against Persons,7,Murder,0.95,substring
81,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Adultery,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
82,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Property Disputes,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
83,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Electoral Gain,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
84,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC/110 BNS),Gang Rivalry,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
