Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
101,A- IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0,0,0,0
102,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,740,61,94,60
103,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,1941,168,169,189
104,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,14,0,1,1
105,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0
106,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,10,0,1,2
107,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,1,0,0,0
108,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,45,0,4,6
109,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0,0,0,0
110,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,2,0,1,0
111,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,17,4,1,4
112,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0
113,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,1,0,0,0
114,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),2,0,0,0
115,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0
116,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,2,0,0,0
117,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,4,0,2,0
118,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,0,0,0,0
119,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,13,0,2,2
120,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0
121,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,4,0,0,0
122,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0
123,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,23,0,1,1
124,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0
125,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0
126,A- IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,572,47,61,49
127,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
128,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,42,2,3,1
129,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),On Highways,48,0,3,0
130,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),In Trains,0,0,0,0
131,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
132,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,8,2,0,2
133,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,66,4,9,6
134,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),In Other Places,53,3,6,2
135,A- IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),River & Sea,0,0,0,0
136,A- IPC CRIME,Preparation And Assembly for Dacoity,NA,291,21,14,17
137,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),At ATM,2,0,0,0
138,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),At Residential Premises,166,11,14,22
139,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),On Highways,101,21,6,10
140,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),In Trains,20,1,0,2
141,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),At Banks,5,0,0,0
142,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,74,2,3,7
143,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),In Other Places,657,54,69,74
144,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),Chain Snatching,666,57,40,51
145,A- IPC CRIME,Robbery (Sec.392 to 394 IPC),Attempt to Commit,56,2,6,5
146,A- IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,2477,206,203,241
147,A- IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,3,0,0,0
148,A- IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
149,A- IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,68,6,7,7
150,A- IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,772,74,61,57
151,A- IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,724,63,77,57
