SL.NO,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
183,A- IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,5,2,1,4
184,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,34,12,16,18
185,A- IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,254,91,132,122
186,A- IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,47,32,23,24
187,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,179,82,82,97
188,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0,2,0,0
189,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,1,0,0,1
190,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,0,0,0,0
191,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,1,0,1,0
192,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,5,1,0,5
193,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,0,3,0,0
194,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0
195,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,1,1,1,0
196,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0,0,0,0
197,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,4,0,1,3
198,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,0,2,0,0
199,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,2,0,1,1
200,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,2,1,0,2
201,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,1,0,1,0
202,A- IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,379,262,192,187
203,A- IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0
204,A- IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,6,7,4,2
205,A- IPC Crime,CRIMINAL BREACH OF TRUST,NA,76,37,35,41
206,A- IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,1033,509,521,512
207,A- IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0
208,A- IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0
209,A- IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0
210,A- IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
211,A- IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),3,1,3,0
212,A- IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,0,0,0,0
213,A- IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,51,31,36,15
214,A- IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),0,0,0,0
215,A- IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,0,0,0,0
216,A- IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,30,20,18,12
217,A- IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),1,2,0,1
218,A- IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),0,0,0,0
219,A- IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,154,104,75,79
220,A- IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,2328,1116,1205,1123
221,A- IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,0,0,0,0
222,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0
223,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),0,0,0,0
224,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0
225,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0
226,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0
227,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,0,0,0,0
228,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Edible Oil,0,0,0,0
229,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Food Grain,0,0,0,0
230,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0
231,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0
232,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0
233,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0
234,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0
235,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,0,0,0,0
236,A- IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,0,0,0,0
