Sl.No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
73,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0
74,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0
75,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0
76,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0
77,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
78,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,3,0,0,0
79,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,20,0,2,3
80,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,0,0,0
81,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,1,0,0,0
82,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,1,0,0,1
83,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0
84,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0
85,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0,0,0,0
86,A-IPC CRIME,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,4,0,0,2
87,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,0,0,0,0
88,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,8,3,0,0
89,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,7,2,2,1
90,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0,0,0,0
91,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,0,0,0,0
92,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,7,0,1,1
93,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,26,6,5,6
94,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,27,3,2,2
95,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0,0,0,0
96,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0,0,0,0
97,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,0,0,0,0
98,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,233,21,27,35
99,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,6,0,0,0
100,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Due to Other Causes,75,8,11,6
101,A-IPC CRIME,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0,0,0,0
102,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,563,60,94,87
103,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,1433,108,201,233
104,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,5,2,1,1
105,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0
106,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,3,1,1,0
107,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,1,0,0,0
108,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,35,5,6,8
109,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0,0,0,0
110,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,1,0,0,0
111,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,6,0,0,0
112,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0
113,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0,0,0,0
114,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),0,1,0,0
115,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0
116,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,1,0,0,1
117,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,8,0,2,0
118,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,0,0,0,0
119,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,5,1,0,2
120,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0
121,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,1,0,0,0
122,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0
123,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,14,2,0,2
124,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0
125,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0
126,A-IPC CRIME,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,379,46,60,66
127,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
128,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,14,1,0,1
129,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),On Highways,24,3,9,5
130,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),In Trains,1,0,0,0
131,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
132,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,5,1,0,0
133,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,30,4,1,5
134,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),In Other Places,38,4,3,5
135,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),River & Sea,0,0,0,0
136,A-IPC CRIME,DACOITY (Sec. 395 to 398 IPC ),Preparation And Assembly for Dacoity,90,28,12,14
137,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0
138,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),At Residential Premises,130,17,24,24
139,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),On Highways,65,7,18,10
140,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),In Trains,3,4,0,2
141,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),At Banks,2,0,0,1
142,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,66,8,9,19
143,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),In Other Places,511,63,107,94
144,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),Chain Snatching,396,61,48,42
145,A-IPC CRIME,Robbery (Sec.392 to 394 IPC),Attempt to Commit,42,6,6,5
146,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,1788,225,234,251
147,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,2,0,0,1
148,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
149,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,37,6,6,7
150,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,582,91,106,113
151,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,462,68,81,86
152,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,257,31,42,43
153,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Sub Total,3128,421,469,501
154,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)","BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",,,,
155,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,696,89,121,112
156,A-IPC CRIME,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,1,0,0,0
