Sl.No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
455,A-IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,220,23,24,26
456,A-IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,99,7,13,19
457,A-IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Abetment  ,0,0,0,0
458,A-IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Animal  ,2,0,0,0
459,A-IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Attempt,0,0,0,0
460,A-IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Major - Man,3,0,0,0
461,A-IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Major - Woman,3,1,2,0
462,A-IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Minor - Boy,1,0,0,1
463,A-IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Minor - Girl,0,0,0,0
464,A-IPC CRIME,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Attempt to Commit,14,2,4,2
465,A-IPC CRIME,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Confession,3,0,1,1
466,A-IPC CRIME,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Property,13,1,1,2
467,A-IPC CRIME,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To settle Dispute,15,0,2,1
468,A-IPC CRIME,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Others,273,33,35,48
469,A-IPC CRIME,"INFANTICIDE (Sec.315, 316 IPC)",Male,0,0,0,0
470,A-IPC CRIME,"INFANTICIDE (Sec.315, 316 IPC)",Female,0,0,0,0
471,A-IPC CRIME,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),NA,33,5,4,4
472,A-IPC CRIME,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0
473,A-IPC CRIME,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,1,0,0,0
474,A-IPC CRIME,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,0,0,0,0
475,A-IPC CRIME,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Sub Total,1,0,0,0
476,A-IPC CRIME,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),DEFAMATION (Sec.500 to 502 IPC),,,,
477,A-IPC CRIME,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Persons ,3,0,0,0
478,A-IPC CRIME,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Printed Matter,1,0,0,0
479,A-IPC CRIME,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Others,1,1,0,0
480,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Assembly,1016,2,2,1
481,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Parliament,3,0,1,0
482,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Other Elected Bodies,31,0,0,1
483,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Sub Total,1050,2,3,2
484,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),"SLAVERY (Sec.370, 371, 374 IPC)",,,,
485,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Man,0,0,0,0
486,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Woman,0,0,0,0
487,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Boy,0,0,0,0
488,A-IPC CRIME,ELECTION(Sec.171(E) to 171(1) IPC),Girl,0,0,0,0
489,A-IPC CRIME,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,137,23,21,30
490,A-IPC CRIME,ILLEGAL DETENTION (Sec.342 IPC),NA,0,0,0,0
491,A-IPC CRIME,FALSE EVIDENCE (Sec.191 to 205 IPC),NA,13,1,1,1
492,A-IPC CRIME,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,14,2,1,1
493,A-IPC CRIME,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,28,2,5,4
494,A-IPC CRIME,OF ABETMENT (Sec.107 to 120 IPC),NA,5,0,1,1
495,A-IPC CRIME,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,47,4,8,5
496,A-IPC CRIME,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,121,27,11,8
497,A-IPC CRIME,Concealment of birth by secret disposal of Child,Girl,21,2,3,3
498,A-IPC CRIME,Concealment of birth by secret disposal of Child,Boy,17,1,3,0
499,A-IPC CRIME,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,9,1,3,0
500,A-IPC CRIME,Disobedience to Order Promulgated by Public/Servant,By Others,76,1,0,2
501,A-IPC CRIME,Disobedience to Order Promulgated by Public/Servant,By Private Institution,7,1,0,0
502,A-IPC CRIME,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,44,0,2,1
503,A-IPC CRIME,Human Trafficking,Eunuch,0,0,0,0
504,A-IPC CRIME,Human Trafficking,Men,0,0,0,0
505,A-IPC CRIME,Human Trafficking,Boy,1,0,0,0
506,A-IPC CRIME,Human Trafficking,Women,7,0,1,0
507,A-IPC CRIME,Human Trafficking,Girl,0,0,0,0
508,A-IPC CRIME,Aadhaar Act,Impersonation,0,0,0,0
509,A-IPC CRIME,Aadhaar Act,Offence by Company,0,0,0,0
510,A-IPC CRIME,Aadhaar Act,Offence by individual,0,0,0,0
511,A-IPC CRIME,Giving false information respecting an offence com,Giving false information respecting an offence committed,3,0,0,0
512,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0,0,0,0
513,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,2,0,0,0
514,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,7,1,2,1
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,89,10,20,12
516,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,6,1,0,3
517,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,49,7,8,10
518,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,2,0,0,0
519,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,18,4,0,1
520,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,0,0,0,0
521,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,24,3,3,3
522,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,129,17,9,11
523,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0
524,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,3,1,0,1
525,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,122,12,17,19
526,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
527,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,0,0,0,0
528,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,0,1,0,0
529,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
530,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,38,8,12,6
531,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,6,1,1,1
532,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,308,91,39,48
533,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,3,1,0,1
534,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0
535,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,98,11,17,12
536,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,45,5,10,2
537,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,12,0,0,1
538,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,792,85,122,128
539,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,182,18,22,22
540,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,315,27,48,50
541,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,88,10,15,13
542,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,83,2,11,5
543,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,99,20,20,9
544,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,58,11,9,6
545,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,1,0,0,0
546,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
549,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
550,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
552,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
553,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
554,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
555,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
556,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
557,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,18,2,2,1
558,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,20,1,7,5
559,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0
560,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
561,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
562,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
563,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,10,3,0,3
564,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
565,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2,0,0,1
566,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,6,2,0,0
567,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
568,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
569,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
570,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
571,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,98,16,24,19
572,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,63,6,10,16
573,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,29,1,1,0
574,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,4,0,0,2
575,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,2584,324,827,414
576,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,1900,230,464,404
577,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,0,0,0,0
578,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,6,3,0,1
579,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,314,0,0,5
580,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,0,0,0,0
581,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,17,0,0,0
582,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),3205,608,701,543
583,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),3430,621,579,672
584,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),158,28,46,38
585,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,328,11,11,12
586,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,858,24,42,41
587,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,80,13,12,16
588,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,11,0,1,3
589,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
590,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
591,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
592,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,2,1,0,0
593,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,1,0,1,0
594,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,1,1,0,1
595,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1209,208,214,223
596,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,1,0,1,0
597,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0,0,0,0
598,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
599,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,15,2,3,1
600,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,709,32,457,102
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,1,0,0,0
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,0,0,0,0
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,172,62,53,17
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,149,35,41,19
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,1,0,0,0
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,6687,726,777,677
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,38,13,2,6
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,7,0,0,1
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,0,1,0
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,1,0
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,14,3,3,2
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,33,6,12,2
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,1,0,1,0
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,15,0,0,0
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,1,0,0
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,3,0,0,0
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,3,0,2,1
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,43,8,9,6
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,1,0,0,1
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,6,0,0,0
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,274,20,2,3
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,0,0
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,1,0,0,0
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,3,1,0,0
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,1,0,0,0
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,3,2,0,1
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,24,13,1,2
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,0,0,0
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,69,4,12,17
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,2,0,0,0
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,6,2,0,1
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,119,14,17,9
650,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",11416,1156,1760,2067
651,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
652,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,0,0,0
653,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,5,0,0,1
654,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,0,0,0,0
655,B - SPECIAL & LOCAL LAWS,POCSO,Rape,1427,180,237,202
656,B - SPECIAL & LOCAL LAWS,POCSO,Others ,580,71,77,105
657,0,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0
658,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,7,2,2,1
659,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,382,41,46,50
660,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,4255,393,584,632
661,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,102,12,14,13
662,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,87,6,17,18
663,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0
664,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,2,1,1,0
665,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,281,29,34,40
666,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0
667,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,33,7,3,5
668,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,565,70,82,91
669,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,2,0,0,1
670,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,95,11,16,12
671,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,2062,206,316,337
672,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,100,2,16,12
673,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,196,14,35,35
674,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0
675,C. CRIMES AGAINST WOMEN,Pornography,NA,3,0,0,1
676,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,83,6,10,10
677,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,26,4,3,4
678,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,4959,363,760,762
679,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)","Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",0,0,0,0
680,D.CRIME AGAINST CHILDREN,Rape on Minor,Rape on Minor,0,0,0,0
681,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),Exposure & abandonment (Sec. 317 IPC),42,4,6,5
682,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,Kidnapping & Abduction of Children,1931,195,328,364
683,D.CRIME AGAINST CHILDREN,For Ransom - of Children,For Ransom - of Children,4,1,1,1
684,D.CRIME AGAINST CHILDREN,of Children - for begging,of Children - for begging,0,0,0,0
685,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,of Girls - Immoral Purpose,1,0,0,0
686,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,With intent to Steal from Child,0,0,0,0
687,D.CRIME AGAINST CHILDREN,Lawful Guardianship,Lawful Guardianship,1,0,0,0
688,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,Procuration of Minor Girls - For Prostitution,0,0,0,0
689,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,Procuration of Minor Girls - Importing of Girl,1,0,0,0
690,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,Procuration of Minor Girls - For Other Purposes,6,0,0,0
691,D.CRIME AGAINST CHILDREN,Sub Total ,Sub Total ,1944,196,329,365
692,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),Selling of girls for Prostitution (Sec.372 IPC),0,0,0,0
693,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,The Prohibition of Child Marriage Act - 2006,99,20,20,9
694,D.CRIME AGAINST CHILDREN,POCSO Act,POCSO Act,2403,225,326,353
695,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,Death of Children due to miscarriage,8,0,1,2
